                ISG - VALIDATOR                  EXECUTION ID: 24             01/19/2017 01:46:09:565
Parameter Name, Parameter Type, Pre-ISG Count, Post-ISG Count, Count Difference, Start Time, End Time, Status, Response
Publication Objects,COUNT,0,0,0,,,,
Cumulative Views,COUNT,351,354,3,,,,
Default Business Rules,COUNT,2038,2043,5,,,,
Business Rules,COUNT,45,45,0,,,,
User Activities,COUNT,482,486,4,,,,
Indexes,COUNT,1496,1501,5,,,,
Version Tables,COUNT,61,62,1,,,,
Net change Tables,COUNT,40,40,0,,,,
Facets,COUNT,6846,6948,102,,,,
MDM Views,COUNT,6,6,0,,,,
Native Tables,COUNT,21,21,0,,,,
Net change SQLs,COUNT,524,530,6,,,,
Output Tables,COUNT,61,62,1,,,,
Error Tables,COUNT,61,62,1,,,,
Cumulative Tables,COUNT,768,772,4,,,,
Foreign Keys,COUNT,121,121,0,,,,
Cumulative Columns,COUNT,19919,20105,186,,,,
Left Nav URLs,COUNT,534,537,3,,,,
Input Tables,COUNT,40,40,0,,,,
Temporal Tables,COUNT,0,0,0,,,,
Relational Objects,COUNT,0,0,0,,,,
Macros,COUNT,31,31,0,,,,
Non MDM Views,COUNT,0,0,0,,,,
Left Nav Entries,COUNT,319,322,3,,,,
GT Tables,COUNT,61,62,1,,,,
Stored Procedures,COUNT,272,272,0,,,,
Master Tables,COUNT,61,62,1,,,,
ADD_MODEL_TEMPLATE,STEP,,,,2017-01-19_01:45:14.0,2017-01-19_01:45:14.0,SUCCESSFUL,
POPULATE_SYS_TABLE,STEP,,,,2017-01-19_01:45:13.0,2017-01-19_01:45:13.0,SUCCESSFUL,
MigrateExtendedAttrs,STEP,,,,2017-01-19_01:45:35.0,2017-01-19_01:45:35.0,SUCCESSFUL,
MigrateExtAttrs,STEP,,,,2017-01-19_01:45:35.0,2017-01-19_01:45:35.0,SUCCESSFUL,
INCRE_LOAD_VALUES,STEP,,,,2017-01-19_01:45:22.0,2017-01-19_01:45:22.0,SUCCESSFUL,
REFRESH_LOAD_TABLES,STEP,,,,2017-01-19_01:45:23.0,2017-01-19_01:45:23.0,SUCCESSFUL,
callCustomRulesInIsg,STEP,,,,2017-01-19_01:45:47.0,2017-01-19_01:45:47.0,SUCCESSFUL,
BUSINESS_VALIDATION,STEP,,,,2017-01-19_01:45:22.0,2017-01-19_01:45:22.0,SUCCESSFUL,
Schema Generation,STEP,,,,2017-01-19_01:45:10.0,2017-01-19_01:45:10.0,SUCCESSFUL,
REFRESH_SYS_DBC,STEP,,,,2017-01-19_01:45:35.0,2017-01-19_01:45:35.0,SUCCESSFUL,
REFRESH_DEFAULT_RULES,STEP,,,,2017-01-19_01:45:42.0,2017-01-19_01:45:42.0,SUCCESSFUL,
CREATE_GTT,STEP,,,,2017-01-19_01:45:34.0,2017-01-19_01:45:34.0,SUCCESSFUL,
CREATE_ACTIVITY,STEP,,,,2017-01-19_01:45:13.0,2017-01-19_01:45:13.0,SUCCESSFUL,
